time_sec,opening_PV006,mflow_pump_out,T_pump_in,T_heater_out,T_chiller_after,mflow_GHX_bypass,qghx_kW
0.0,1.0,0.6021497249603271,496.3184509277344,518.575439453125,524.6859130859375,0.5183125138282776,5.31864697265625
1.0,1.0,0.602197355030512,495.7756225466728,518.6045837402344,524.6524536125362,0.5168378114467487,5.557460052490234
2.0,1.0,0.6022449851006968,495.23279416561127,518.6337280273438,524.6189941391349,0.5153631090652198,5.7962731323242185
3.0,1.0,0.6022926151708816,494.6899657845497,518.6628723144531,524.5855346657336,0.5138884066836908,6.035086212158203
4.0,1.0,0.6023402452410664,494.14713740348816,518.6920166015625,524.5520751923323,0.5124137043021619,6.273899291992188
5.0,1.0,0.6023878753112513,493.6043090224266,518.7211608886719,524.518615718931,0.510939001920633,6.512712371826172
6.0,1.0,0.6024355053814361,493.06148064136505,518.7503051757812,524.4851562455297,0.5094642995391041,6.751525451660156
7.0,1.0,0.6024831354516209,492.5186522603035,518.7794494628906,524.4516967721283,0.5079895971575752,6.990338531494141
8.0,1.0,0.6025307655218057,491.97582387924194,518.80859375,524.418237298727,0.5065148947760463,7.229151611328125
9.0,1.0,0.6025783955919906,491.4329954981804,518.8377380371094,524.3847778253257,0.5050401923945174,7.467964691162109
10.0,1.0,0.6026260256621754,490.89016711711884,518.8668823242188,524.3513183519244,0.5035654900129884,7.706777770996093
11.0,1.0,0.6026736080639239,490.4206939637661,519.103051751852,524.3235778808594,0.5023070604074746,8.025542053222656
12.0,1.0,0.6027211904511205,489.95122069120407,519.3392211794853,524.2958374023438,0.5010486305691302,8.344306274414063
13.0,1.0,0.6027687728383171,489.48174741864204,519.5753906071186,524.2680969238281,0.4997902007307857,8.663070495605469
14.0,1.0,0.6028163552255137,489.01227414608,519.8115600347519,524.2403564453125,0.4985317708924413,8.981834716796875
15.0,1.0,0.6028639376127103,488.542800873518,520.0477294623852,524.2126159667969,0.4972733410540968,9.300598937988282
16.0,1.0,0.6029115199999069,488.07332760095596,520.2838988900185,524.1848754882812,0.49601491121575236,9.619363159179688
17.0,1.0,0.6029591023871035,487.60385432839394,520.5200683176517,524.1571350097656,0.4947564813774079,9.938127380371094
18.0,1.0,0.6030066847743001,487.1343810558319,520.756237745285,524.12939453125,0.49349805153906345,10.2568916015625
19.0,1.0,0.6030542671614967,486.6649077832699,520.9924071729183,524.1016540527344,0.492239621700719,10.575655822753907
20.0,1.0,0.6031018495486933,486.19543451070786,521.2285766005516,524.0739135742188,0.49098119186237454,10.894420043945313
21.0,1.0,0.6031472742542974,485.79425048828125,521.3488403335214,524.0595214841887,0.48989924788475037,11.299959075927735
22.0,1.0,0.6031926989526255,485.39306640625,521.4691040068865,524.0451293941587,0.4888173043727875,11.705498229980469
23.0,1.0,0.6032381236509536,484.99188232421875,521.5893676802516,524.0307373041287,0.4877353608608246,12.111037384033203
24.0,1.0,0.6032835483492818,484.5906982421875,521.7096313536167,524.0163452140987,0.4866534173488617,12.516576538085937
25.0,1.0,0.6033289730476099,484.18951416015625,521.8298950269818,524.0019531240687,0.4855714738368988,12.922115692138672
26.0,1.0,0.603374397745938,483.788330078125,521.950158700347,523.9875610340387,0.4844895303249359,13.327654846191406
27.0,1.0,0.6034198224442662,483.38714599609375,522.0704223737121,523.9731689440086,0.483407586812973,13.73319400024414
28.0,1.0,0.6034652471425943,482.9859619140625,522.1906860470772,523.9587768539786,0.48232564330101013,14.138733154296874
29.0,1.0,0.6035106718409224,482.58477783203125,522.3109497204423,523.9443847639486,0.48124369978904724,14.54427230834961
30.0,1.0,0.6035560965392506,482.18359375,522.4312133938074,523.9299926739186,0.48016175627708435,14.949811462402344
31.0,1.0,0.6036005675778142,481.835903942585,522.3706970214844,523.9210144039243,0.4792293250793591,15.43424755859375
32.0,1.0,0.603645038601826,481.48821413517,522.3101806640625,523.9120361320674,0.4782968938816339,15.91868359375
