time_sec,opening_PV006,mflow_pump_out,T_pump_in,T_heater_out,T_chiller_after,mflow_GHX_bypass,qghx_kW
0.0,1.0,0.6323358416557312,407.974853515625,515.42041015625,523.0031127929688,0.2808321714401245,86.8367890625
1.0,1.0,0.632769632327836,406.3431793451309,515.40794677753,522.9598266594112,0.27654699981212616,90.58173828125
2.0,1.0,0.6332034229999408,404.71150517463684,515.39548339881,522.9165405258536,0.2722618281841278,94.3266875
3.0,1.0,0.6336372136720456,403.07983100414276,515.38302002009,522.8732543922961,0.26797665655612946,98.07163671875
4.0,1.0,0.6340710043441504,401.4481568336487,515.3705566413701,522.8299682587385,0.2636914849281311,101.8165859375
5.0,1.0,0.6345047950162552,399.8164826631546,515.3580932626501,522.786682125181,0.25940631330013275,105.56153515625
6.0,1.0,0.63493858568836,398.1848084926605,515.3456298839301,522.7433959916234,0.2551211416721344,109.306484375
7.0,1.0,0.6353723763604648,396.55313432216644,515.3331665052101,522.7001098580658,0.25083597004413605,113.05143359375
8.0,1.0,0.6358061670325696,394.92146015167236,515.3207031264901,522.6568237245083,0.2465507984161377,116.7963828125
9.0,1.0,0.6362399577046745,393.2897859811783,515.3082397477701,522.6135375909507,0.24226562678813934,120.54133203125
10.0,1.0,0.6366737483767793,391.6581118106842,515.2957763690501,522.5702514573932,0.237980455160141,124.28628125
11.0,1.0,0.6371183395385742,390.16819155216217,515.2699768058956,522.5282226577401,0.23410397628322244,128.12315771484376
12.0,1.0,0.6375629305839539,388.6782715320587,515.2441772446036,522.4861938506365,0.23022749740630388,131.9600341796875
13.0,1.0,0.6380075216293335,387.18835151195526,515.2183776833117,522.4441650435328,0.22635101852938533,135.79691064453124
14.0,1.0,0.6384521126747131,385.6984314918518,515.1925781220198,522.4021362364292,0.22247453965246677,139.633787109375
15.0,1.0,0.6388967037200928,384.20851147174835,515.1667785607278,522.3601074293256,0.21859806077554822,143.47066357421875
16.0,1.0,0.6393412947654724,382.7185914516449,515.1409789994359,522.318078622222,0.21472158189862967,147.3075400390625
17.0,1.0,0.639785885810852,381.22867143154144,515.115179438144,522.2760498151183,0.2108451030217111,151.14441650390626
18.0,1.0,0.6402304768562317,379.738751411438,515.089379876852,522.2340210080147,0.20696862414479256,154.98129296875
19.0,1.0,0.6406750679016113,378.24883139133453,515.0635803155601,522.191992200911,0.203092145267874,158.81816943359374
20.0,1.0,0.641119658946991,376.7589113712311,515.0377807542682,522.1499633938074,0.19921566639095545,162.6550458984375
21.0,1.0,0.6415583550988231,375.4959259033203,515.084844969213,522.1094116196036,0.19574747839942575,166.14555786132811
22.0,1.0,0.6419970512506552,374.2329406738281,515.1319091767073,522.068859860301,0.19227929133921862,169.63606884765625
23.0,1.0,0.6424357474024873,372.96995544433594,515.1789733842015,522.0283081009984,0.1888111042790115,173.12657983398438
24.0,1.0,0.6428744435543194,371.70697021484375,515.2260375916958,521.9877563416958,0.18534291721880436,176.6170908203125
25.0,1.0,0.6433131397061516,370.44398498535156,515.27310179919,521.9472045823932,0.18187473015859723,180.10760180664062
26.0,1.0,0.6437518358579837,369.1809997558594,515.3201660066843,521.9066528230906,0.1784065430983901,183.59811279296875
27.0,1.0,0.6441905320098158,367.9180145263672,515.3672302141786,521.8661010637879,0.17493835603818297,187.08862377929688
28.0,1.0,0.6446292281616479,366.655029296875,515.4142944216728,521.8255493044853,0.17147016897797585,190.579134765625
29.0,1.0,0.64506792431348,365.3920440673828,515.4613586291671,521.7849975451827,0.16800198191776872,194.06964575195312
30.0,1.0,0.6455066204653122,364.1290588378906,515.5084228366613,521.7444457858801,0.1645337948575616,197.56015673828125
31.0,1.0,0.6459181602986064,363.08867502212524,515.6123842671514,521.7073093950748,0.16135161882266402,200.5941960449219
32.0,1.0,0.6463297001901083,362.04829120635986,515.7163456827402,521.6701729893684,0.15816944371908903,203.62823583984374
33.0,1.0,0.6467412400816102,361.0079073905945,515.8203070983291,521.633036583662,0.15498726861551404,206.66227563476562
34.0,1.0,0.647152779973112,359.9675235748291,515.9242685139179,521.5959001779556,0.15180509351193905,209.6963154296875
35.0,1.0,0.6475328871193824,359.08305893454235,515.8633881769274,521.5615767235249,0.1487829635827893,212.3901536819935
36.0,1.0,0.6479068691288603,358.22897766146343,515.7703858352397,521.5278014200121,0.14579202136724234,215.01769787144661
37.0,1.0,0.6482808511383382,357.3748963883845,515.677383493552,521.4940261164993,0.14280107915169538,217.64524206089973
38.0,1.0,0.6486548331478161,356.5208151153056,515.5843811518644,521.4602508129865,0.1398101369361484,220.27278625035285
39.0,1.0,0.649028815157294,355.6667338422267,515.4913788101767,521.4264755094737,0.13681919472060144,222.900330439806
40.0,1.0,0.649402797166772,354.81265256914776,515.398376468489,521.3927002059609,0.13382825250505448,225.52787462925912
41.0,1.0,0.649692845356185,354.26188963651657,514.857473731041,521.3519409187138,0.13110113516449928,227.46574536132812
42.0,1.0,0.6499828934902325,353.7111266851425,514.3165709972382,521.3111816421151,0.12837401777505875,229.40361572265624
43.0,1.0,0.6502729416242801,353.16036373376846,513.7756682634354,521.2704223655164,0.1256469003856182,231.34148608398436
44.0,1.0,0.6505629897583276,352.6096007823944,513.2347655296326,521.2296630889177,0.12291978299617767,233.2793564453125
45.0,1.0,0.6508530378923751,352.05883783102036,512.6938627958298,521.188903812319,0.12019266560673714,235.21722680664064
46.0,1.0,0.6511430860264227,351.5080748796463,512.152960062027,521.1481445357203,0.1174655482172966,237.15509716796876
47.0,1.0,0.6514331341604702,350.95731192827225,511.6120573282242,521.1073852591217,0.11473843082785606,239.09296752929689
48.0,1.0,0.6517231822945178,350.4065489768982,511.0711545944214,521.066625982523,0.11201131343841553,241.030837890625
49.0,1.0,0.6520132304285653,349.85578602552414,510.5302518606186,521.0258667059243,0.10928419604897499,242.96870825195313
50.0,1.0,0.6523032785626128,349.3050230741501,509.9893491268158,520.9851074293256,0.10655707865953445,244.90657861328125
51.0,1.0,0.6524817645549774,349.069815069437,509.25827330350876,520.912469483912,0.10406382381916046,246.06360778808593
52.0,1.0,0.6526602506637573,348.8346069455147,508.52719724178314,520.839831545949,0.10157056897878647,247.22063745117188
53.0,1.0,0.6528387367725372,348.59939882159233,507.7961211800575,520.767193607986,0.09907731413841248,248.3776671142578
54.0,1.0,0.6530172228813171,348.36419069767,507.0650451183319,520.694555670023,0.09658405929803848,249.53469677734375
55.0,1.0,0.653195708990097,348.12898257374763,506.3339690566063,520.62191773206,0.09409080445766449,250.69172644042968
56.0,1.0,0.653374195098877,347.8937744498253,505.6028929948807,520.549279794097,0.0915975496172905,251.84875610351563
57.0,1.0,0.6535526812076569,347.65856632590294,504.87181693315506,520.4766418561339,0.0891042947769165,253.00578576660158
58.0,1.0,0.6537311673164368,347.4233582019806,504.14074087142944,520.4040039181709,0.08661103993654251,254.1628154296875
59.0,1.0,0.6539096534252167,347.18815007805824,503.4096648097038,520.3313659802079,0.08411778509616852,255.31984509277345
60.0,1.0,0.6540881395339966,346.9529419541359,502.6785887479782,520.2587280422449,0.08162453025579453,256.4768747558594
61.0,1.0,0.6541914880290278,346.88597106933594,502.0852447748184,520.1488464325666,0.07925355574116111,257.10353436279297
62.0,1.0,0.6542948365240591,346.8190002441406,501.49190068244934,520.0389648377895,0.07688258122652769,257.73019372558593
63.0,1.0,0.6543981850190903,346.7520294189453,500.89855659008026,519.9290832430124,0.07451160671189427,258.3568530883789
64.0,1.0,0.6545015335141215,346.68505859375,500.3052124977112,519.8192016482353,0.07214063219726086,258.98351245117186
65.0,1.0,0.6546048820091528,346.6180877685547,499.7118684053421,519.7093200534582,0.06976965768262744,259.6101718139648
66.0,1.0,0.654708230504184,346.5511169433594,499.118524312973,519.5994384586811,0.06739868316799402,260.2368311767578
67.0,1.0,0.6548115789992153,346.48414611816406,498.52518022060394,519.489556863904,0.0650277086533606,260.86349053955075
68.0,1.0,0.6549149274942465,346.41717529296875,497.93183612823486,519.3796752691269,0.06265673413872719,261.4901499023438
69.0,1.0,0.6550182759892778,346.35020446777344,497.3384920358658,519.2697936743498,0.06028575962409377,262.11680926513674
70.0,1.0,0.655121624484309,346.2832336425781,496.7451479434967,519.1599120795727,0.057914785109460354,262.7434686279297
71.0,1.0,0.6552010297746165,346.23856201022863,496.3838256895542,519.0242370665073,0.05561217246577144,263.110356262207
72.0,1.0,0.6552804350794759,346.19389037787914,496.0225036740303,518.8885620236397,0.053309558890759945,263.47724377441403
73.0,1.0,0.6553598403843353,346.14921874552965,495.6611816585064,518.752886980772,0.05100694531574845,263.8441312866211
74.0,1.0,0.6554392456891946,346.10454711318016,495.2998596429825,518.6172119379044,0.04870433174073696,264.21101879882815
75.0,1.0,0.655518650994054,346.05987548083067,494.9385376274586,518.4815368950367,0.04640171816572547,264.5779063110352
76.0,1.0,0.6555980562989134,346.0152038484812,494.57721561193466,518.345861852169,0.04409910459071398,264.9447938232422
